airline,source_city,departure_time,stops,arrival_time,destination_city,class,price,days_left,duration_hours,duration_minutes
0,0,0,1,0,2,0,17873,2,11,42
0,0,0,1,0,2,0,13883,3,11,42
0,0,0,1,0,2,0,10785,4,11,42
0,0,0,1,0,2,0,10680,5,11,42
0,0,0,1,0,2,0,10680,8,11,42
0,0,0,1,0,2,0,10785,10,11,42
0,0,0,1,0,2,0,10680,11,11,42
0,0,0,1,0,2,0,10680,12,11,42
0,0,0,1,0,2,0,10680,14,11,42
0,0,0,1,0,2,0,4496,15,11,42
0,0,0,1,0,2,0,4496,16,11,42
0,0,0,1,0,2,0,4496,17,11,42
0,0,0,1,0,2,0,4496,18,11,42
0,0,0,1,0,2,0,4496,19,11,42
0,0,0,1,0,2,0,4496,20,11,42
0,0,0,1,0,2,0,4496,21,11,42
0,0,0,1,0,2,0,4496,22,11,42
0,0,0,1,0,2,0,4496,23,11,42
0,0,0,1,0,2,0,4496,24,11,42
0,0,0,1,0,2,0,4496,25,11,42
0,0,0,1,0,2,0,4496,26,11,42
0,0,0,1,0,2,0,4496,27,11,42
0,0,0,1,0,2,0,4496,28,11,42
0,0,0,1,0,2,0,4496,29,11,42
0,0,0,1,0,2,0,4496,30,11,42
0,0,0,1,0,2,0,4496,31,11,42
0,0,0,1,0,2,0,4496,32,11,42
0,0,0,1,0,2,0,4496,33,11,42
0,0,0,1,0,2,0,4496,34,11,42
0,0,0,1,0,2,0,4496,35,11,42
0,0,0,1,0,2,0,4496,36,11,42
0,0,0,1,0,2,0,4496,37,11,42
0,0,0,1,0,2,0,4496,38,11,42
0,0,0,1,0,2,0,4496,39,11,42
0,0,0,1,0,2,0,4496,40,11,42
0,0,0,1,0,2,0,4496,41,11,42
0,0,0,1,0,2,0,4496,42,11,42
0,0,0,1,0,2,0,4496,43,11,42
0,0,0,1,0,2,0,4496,44,11,42
0,0,0,1,0,2,0,4496,45,11,42
0,0,0,1,0,2,0,4152,46,11,42
0,0,0,1,0,2,0,4496,47,11,42
0,0,0,1,0,2,0,4496,48,11,42
0,0,0,1,0,2,0,4496,49,11,42
0,0,0,1,0,4,0,20340,1,11,42
0,0,0,1,0,4,0,10260,2,11,42
0,0,0,1,0,4,0,9840,3,11,42
0,0,0,1,0,4,0,9945,4,11,42
0,0,0,1,0,4,0,9840,5,11,42
0,0,0,1,0,4,0,9840,6,11,42
0,0,0,1,0,4,0,9840,7,11,42
0,0,0,1,0,4,0,9840,8,11,42
0,0,0,1,0,4,0,9840,9,11,42
0,0,0,1,0,4,0,9840,10,11,42
0,0,0,1,0,4,0,9840,11,11,42
0,0,0,1,0,4,0,9840,12,11,42
0,0,0,1,0,4,0,9840,13,11,42
0,0,0,1,0,4,0,10050,14,11,42
0,0,0,1,0,4,0,5772,15,11,42
0,0,0,1,0,4,0,5772,16,11,42
0,0,0,1,0,4,0,5772,17,11,42
0,0,0,1,0,4,0,5772,18,11,42
0,0,0,1,0,4,0,5772,19,11,42
0,0,0,1,0,4,0,5772,20,11,42
0,0,0,1,0,4,0,5772,21,11,42
0,0,0,1,0,4,0,5772,22,11,42
0,0,0,1,0,4,0,5772,23,11,42
0,0,0,1,0,4,0,5772,24,11,42
0,0,0,1,0,4,0,5772,25,11,42
0,0,0,1,0,4,0,5772,26,11,42
0,0,0,1,0,4,0,5772,27,11,42
0,0,0,1,0,4,0,5772,28,11,42
0,0,0,1,0,4,0,5772,29,11,42
0,0,0,1,0,4,0,5772,30,11,42
0,0,0,1,0,4,0,5772,31,11,42
0,0,0,1,0,4,0,5772,32,11,42
0,0,0,1,0,4,0,5772,33,11,42
0,0,0,1,0,4,0,5772,34,11,42
0,0,0,1,0,4,0,5772,35,11,42
0,0,0,1,0,4,0,5772,36,11,42
0,0,0,1,0,4,0,5772,37,11,42
0,0,0,1,0,4,0,5772,38,11,42
0,0,0,1,0,4,0,5772,39,11,42
0,0,0,1,0,4,0,5772,40,11,42
0,0,0,1,0,4,0,5772,41,11,42
0,0,0,1,0,4,0,5772,42,11,42
0,0,0,1,0,4,0,5772,43,11,42
0,0,0,1,0,4,0,5772,44,11,42
0,0,0,1,0,4,0,5772,45,11,42
0,0,0,1,0,4,0,5772,46,11,42
0,0,0,1,0,4,0,5772,47,11,42
0,0,0,1,0,4,0,5772,48,11,42
0,0,0,1,0,4,0,5772,49,11,42
0,0,0,1,0,5,0,11520,5,11,42
0,0,0,1,0,5,0,11520,6,11,42
0,0,0,1,0,5,0,11520,7,11,42
0,0,0,1,0,5,0,11520,8,11,42
0,0,0,1,0,5,0,11520,9,11,42
0,0,0,1,0,5,0,12045,10,11,42
0,0,0,1,0,5,0,11520,11,11,42
0,0,0,1,0,5,0,11520,12,11,42
0,0,0,1,0,5,0,11520,13,11,42
0,0,0,1,0,5,0,11520,14,11,42
0,0,0,1,0,5,0,4979,15,11,42
0,0,0,1,0,5,0,4979,16,11,42
0,0,0,1,0,5,0,4979,17,11,42
0,0,0,1,0,5,0,4979,18,11,42
0,0,0,1,0,5,0,4979,19,11,42
0,0,0,1,0,5,0,4979,20,11,42
0,0,0,1,0,5,0,4979,21,11,42
0,0,0,1,0,5,0,4979,22,11,42
0,0,0,1,0,5,0,4979,23,11,42
0,0,0,1,0,5,0,4979,24,11,42
0,0,0,1,0,5,0,4979,25,11,42
0,0,0,1,0,5,0,4979,26,11,42
0,0,0,1,0,5,0,4979,27,11,42
0,0,0,1,0,5,0,4979,28,11,42
0,0,0,1,0,5,0,4979,29,11,42
0,0,0,1,0,5,0,4979,30,11,42
0,0,0,1,0,5,0,4979,31,11,42
0,0,0,1,0,5,0,4979,32,11,42
0,0,0,1,0,5,0,4979,33,11,42
0,0,0,1,0,5,0,4979,34,11,42
0,0,0,1,0,5,0,4979,35,11,42
0,0,0,1,0,5,0,4979,36,11,42
0,0,0,1,0,5,0,4979,37,11,42
0,0,0,1,0,5,0,4979,38,11,42
0,0,0,1,0,5,0,4979,39,11,42
0,0,0,1,0,5,0,4979,40,11,42
0,0,0,1,0,5,0,4979,41,11,42
0,0,0,1,0,5,0,4979,42,11,42
0,0,0,1,0,5,0,4979,43,11,42
0,0,0,1,0,5,0,4979,44,11,42
0,0,0,1,0,5,0,4979,45,11,42
0,0,0,1,0,5,0,5342,46,11,42
